TRUE,Model 16,Model 15,Model 14,Model 13,Model 12,Model 11,Model 10,Model 9,Model 8,Model 7,Model 6,Model 5,Model 4,Model 3,Model 2,Model 1
0.000441293,0.00039831,0.000391227,0.000467338,0.00041781,0.000424388,0.000202956,0.000464927,0.000312561,0.000455027,0.000430573,0.000187463,0.000528045,0.000456249,0.000504363,0.000477604,0.000425676
0.000131801,0.000271736,0.0002893,0.000358848,0.000292694,0.000366383,7.33E-05,0.000281079,0.000186806,0.000360059,0.000302564,7.02E-05,0.000529008,0.000465985,0.000515086,0.000535936,0.000439075
0.000280711,0.00025779,0.00029259,0.000348068,0.000280734,0.000352397,7.13E-05,0.000324691,0.000190101,0.000342253,0.000285921,5.14E-05,0.000535216,0.000480376,0.000533621,0.000498705,0.000417619
0.000405018,0.000320514,0.000359949,0.000402182,0.00034637,0.0003521,0.000140146,0.00051563,0.000230534,0.000396705,0.000358401,0.000114621,0.000534613,0.000456388,0.000522211,0.000456694,0.000392365
0.000245613,0.000280688,0.000344751,0.000368003,0.000307103,0.000338611,9.00E-05,0.000401307,0.00019965,0.000370561,0.000340641,8.12E-05,0.000528466,0.000449001,0.000507484,0.000420298,0.000371008
0.000268281,0.000196243,0.000315692,0.000295637,0.000222193,0.00034285,-1.60E-05,0.000365925,9.36E-05,0.000298728,0.000275041,6.75E-06,0.00052374,0.0004588,0.000509434,0.000389711,0.000347678
0.000207302,0.000246121,0.000383,0.000339341,0.000271757,0.000374892,2.03E-05,0.000380135,0.000187089,0.000335824,0.000329149,6.56E-05,0.000527341,0.000425384,0.000485701,0.000364928,0.000337279
0.000205922,0.000353163,0.000464204,0.000434043,0.000383165,0.000401896,0.000132495,0.000414622,0.00025955,0.000413417,0.000437855,0.000179789,0.000516347,0.00039842,0.000462589,0.000337608,0.000320906
0.000261718,0.000362962,0.000456702,0.000446566,0.000398996,0.000420551,0.000160319,0.000390819,0.000285048,0.00040849,0.000458426,0.000187391,0.000515597,0.000409343,0.000466356,0.000308416,0.000302513
0.000215838,0.000351988,0.000461742,0.000440019,0.000390575,0.000458117,0.000173664,0.000351469,0.000318915,0.000393348,0.000458955,0.000160504,0.000525204,0.000391598,0.000461502,0.00030774,0.000323046
0.000703466,0.000399733,0.000531641,0.000480686,0.000444895,0.000498526,0.000236818,0.000492098,0.000338516,0.000436737,0.00051709,0.000200593,0.000515901,0.000388924,0.000446496,0.000300344,0.00030787
0.000240718,0.000416153,0.000548923,0.000490848,0.00045772,0.000500572,0.000249996,0.000338519,0.0004293,0.00046024,0.000536245,0.000198154,0.000515877,0.000388038,0.000444019,0.000296798,0.000315199
0.000242953,0.000359124,0.000471481,0.000434395,0.000385021,0.000471204,0.000180807,0.000325952,0.000414772,0.00040229,0.000453003,0.000101909,0.000516644,0.000379627,0.000433068,0.000281509,0.000305648
0.000229403,0.000300725,0.000401322,0.00037826,0.000328543,0.000444827,0.000140545,0.000322008,0.000242481,0.00036269,0.000393989,6.53E-05,0.000513571,0.000378456,0.000427996,0.000280597,0.000311275
0.000201581,0.000273333,0.000369145,0.000357715,0.000316229,0.000416766,0.000132039,0.000336839,0.000140536,0.000379554,0.000394562,0.000131899,0.000515712,0.000372378,0.000419853,0.000362959,0.000350906
0.000249015,0.000248555,0.000294687,0.000338394,0.000276564,0.000368337,6.38E-05,0.000401494,0.000232914,0.000356743,0.000338862,0.000142579,0.000517355,0.000401177,0.000450148,0.000388541,0.000352518
0.000173731,0.000231956,0.000227446,0.000316919,0.000242549,0.000322718,-6.74E-06,0.000349582,0.000303884,0.000309933,0.000262679,7.38E-05,0.000529598,0.000397924,0.000442949,0.000373668,0.000350382
0.000204285,0.000220791,0.000272364,0.000304823,0.00026415,0.000310923,9.27E-06,0.000318477,0.000110345,0.000313831,0.000285778,6.10E-05,0.000522771,0.000401022,0.000445613,0.000351714,0.000330235
0.00022122,0.000257979,0.000370527,0.000344333,0.000313176,0.000314915,7.27E-05,0.000376048,0.000178304,0.000349285,0.000348174,9.96E-05,0.000513158,0.000394454,0.000439763,0.000320952,0.000310689
0.00020689,0.000263818,0.000366522,0.000360745,0.000305331,0.000319029,6.03E-05,0.000313467,0.000208001,0.000339797,0.000335889,7.67E-05,0.000523075,0.000389449,0.000435798,0.000302713,0.000304272
