TRUE,Model 16,Model 15,Model 14,Model 13,Model 12,Model 11,Model 10,Model 9,Model 8,Model 7,Model 6,Model 5,Model 4,Model 3,Model 2,Model 1
0.000513405,0.000353731,0.000228008,0.000330623,0.000466266,0.000306908,0.000523626,0.000652518,0.000410775,0.000389906,0.000347077,0.000413336,0.000608155,0.000494513,0.000612891,0.000592197,0.000508475
0.000142153,0.000196034,4.43E-05,0.000203408,0.000276338,0.000235983,0.000378799,0.000461216,0.000254705,0.000301654,0.000199424,0.000266044,0.000608833,0.000557655,0.00063526,0.000652612,0.000517057
0.000352751,0.000281496,0.000130875,0.000306075,0.000366555,0.000209679,0.000464465,0.000580944,0.000288159,0.000351225,0.00025978,0.000349481,0.000620404,0.00056023,0.000673479,0.000608042,0.000495132
0.000480574,0.000601709,0.000436227,0.000593563,0.000698441,0.000249177,0.000777543,0.000702064,0.000601117,0.000549737,0.000553788,0.000662553,0.000616315,0.0004551,0.00064189,0.000552878,0.000461109
0.000303313,0.000632789,0.000444165,0.000627248,0.000713241,0.000273167,0.00080518,0.000469553,0.000651327,0.000568664,0.000588519,0.000687374,0.000608396,0.000422646,0.000613614,0.000504766,0.000432516
0.000326409,0.000351126,0.000195592,0.00038658,0.000422443,0.000250982,0.000522733,0.00057646,0.000351275,0.000393101,0.000343177,0.000404408,0.00060197,0.000471092,0.000626709,0.000478904,0.000405243
0.000231276,0.000268909,0.000144431,0.000316925,0.000370451,0.000248057,0.000434681,0.000540925,0.000309693,0.000320132,0.000288282,0.000307598,0.000596966,0.000291559,0.000541131,0.000442186,0.000389533
0.000235425,0.000363892,0.000240897,0.00038296,0.000493767,0.000260944,0.000522491,0.000504824,0.00040785,0.000357944,0.000388885,0.000391932,0.000592045,0.000363999,0.000522452,0.000411305,0.000374283
0.000307289,0.000362214,0.000210401,0.000381675,0.000480339,0.00024902,0.000515237,0.000588916,0.000426622,0.000369992,0.00039987,0.000399645,0.000583518,0.000436334,0.000538894,0.000368447,0.000351471
0.000232357,0.000413125,0.000219586,0.000452177,0.000497877,0.000272479,0.000569684,0.000566251,0.000498002,0.000417641,0.000460227,0.000451203,0.000599932,0.000343244,0.000520891,0.00036378,0.000380145
0.000729326,0.000506641,0.000336091,0.000515916,0.000587306,0.00033378,0.000660717,0.000838869,0.000556463,0.000484439,0.000554768,0.000542841,0.000589176,0.000351061,0.000502343,0.000358242,0.000362186
0.000277489,0.000410191,0.000276046,0.000414643,0.000509276,0.000327152,0.000551208,0.000517175,0.000487666,0.000429061,0.000449006,0.000430502,0.000584477,0.000338235,0.00050105,0.000353659,0.000378897
0.000272403,0.000217824,8.82E-05,0.000274085,0.000321218,0.000257134,0.000342851,0.000498214,0.000279871,0.000301021,0.000261212,0.000222964,0.000586611,0.000331796,0.000487631,0.000335798,0.000369855
0.000267687,0.000240405,9.79E-05,0.000300565,0.000335363,0.000232434,0.000350442,0.000523925,0.000265366,0.000301016,0.000292539,0.000246186,0.000580721,0.000372445,0.00047694,0.000329292,0.000371861
